x,y,alpha,err
5.0000000000000000e+00,6.0000000000000000e+01,9.6835037082802855e-01,1.1102230246251565e-16
5.0000000000000000e+00,6.1000000000000000e+01,9.6884189178018432e-01,0.0000000000000000e+00
5.0000000000000000e+00,6.2000000000000000e+01,9.6931842713001248e-01,1.1102230246251565e-16
5.0000000000000000e+00,6.3000000000000000e+01,9.6978064971403655e-01,0.0000000000000000e+00
5.0000000000000000e+00,6.4000000000000000e+01,9.7022919281687714e-01,1.1102230246251565e-16
5.0000000000000000e+00,6.5000000000000000e+01,9.7066465302541338e-01,0.0000000000000000e+00
5.0000000000000000e+00,6.6000000000000000e+01,9.7108759284019452e-01,1.1102230246251565e-16
6.0000000000000000e+00,3.0000000000000000e+00,7.9148886915741723e-01,0.0000000000000000e+00
6.0000000000000000e+00,4.0000000000000000e+00,8.0200425664373443e-01,1.1102230246251565e-16
6.0000000000000000e+00,5.0000000000000000e+00,8.1321039093177383e-01,1.1102230246251565e-16
6.0000000000000000e+00,6.0000000000000000e+00,8.2439235742634054e-01,0.0000000000000000e+00
6.0000000000000000e+00,7.0000000000000000e+00,8.3511538880606329e-01,0.0000000000000000e+00
6.0000000000000000e+00,8.0000000000000000e+00,8.4515425472851657e-01,0.0000000000000000e+00
6.0000000000000000e+00,9.0000000000000000e+00,8.5441998561951993e-01,0.0000000000000000e+00
6.0000000000000000e+00,1.0000000000000000e+01,8.6290393846030933e-01,0.0000000000000000e+00
6.0000000000000000e+00,1.1000000000000000e+01,8.7064068548972817e-01,0.0000000000000000e+00
6.0000000000000000e+00,1.2000000000000000e+01,8.7768531689201434e-01,1.1102230246251565e-16
6.0000000000000000e+00,1.3000000000000000e+01,8.8410034308908392e-01,0.0000000000000000e+00
6.0000000000000000e+00,1.4000000000000000e+01,8.8994853979683675e-01,0.0000000000000000e+00
6.0000000000000000e+00,1.5000000000000000e+01,8.9528930978873167e-01,0.0000000000000000e+00
6.0000000000000000e+00,1.6000000000000000e+01,9.0017705592832220e-01,0.0000000000000000e+00
6.0000000000000000e+00,1.7000000000000000e+01,9.0466066604110873e-01,1.1102230246251565e-16
6.0000000000000000e+00,1.8000000000000000e+01,9.0878358540663118e-01,0.0000000000000000e+00
6.0000000000000000e+00,1.9000000000000000e+01,9.1258417742726083e-01,0.0000000000000000e+00
6.0000000000000000e+00,2.0000000000000000e+01,9.1609620508608824e-01,0.0000000000000000e+00
6.0000000000000000e+00,2.1000000000000000e+01,9.1934934235807031e-01,0.0000000000000000e+00
6.0000000000000000e+00,2.2000000000000000e+01,9.2236966859270664e-01,0.0000000000000000e+00
6.0000000000000000e+00,2.3000000000000000e+01,9.2518012366062485e-01,0.0000000000000000e+00
6.0000000000000000e+00,2.4000000000000000e+01,9.2780091537232912e-01,0.0000000000000000e+00
6.0000000000000000e+00,2.5000000000000000e+01,9.3024987802731274e-01,1.1102230246251565e-16
6.0000000000000000e+00,2.6000000000000000e+01,9.3254278466991913e-01,0.0000000000000000e+00
6.0000000000000000e+00,2.7000000000000000e+01,9.3469361730334777e-01,0.0000000000000000e+00
6.0000000000000000e+00,2.8000000000000000e+01,9.3671479986482942e-01,0.0000000000000000e+00
6.0000000000000000e+00,2.9000000000000000e+01,9.3861739872273453e-01,1.1102230246251565e-16
6.0000000000000000e+00,3.0000000000000000e+01,9.4041129512210331e-01,1.1102230246251565e-16
6.0000000000000000e+00,3.1000000000000000e+01,9.4210533354806947e-01,1.1102230246251565e-16
6.0000000000000000e+00,3.2000000000000000e+01,9.4370744948922503e-01,0.0000000000000000e+00
6.0000000000000000e+00,3.3000000000000000e+01,9.4522477961308293e-01,0.0000000000000000e+00
6.0000000000000000e+00,3.4000000000000000e+01,9.4666375693610472e-01,0.0000000000000000e+00
6.0000000000000000e+00,3.5000000000000000e+01,9.4803019318984993e-01,1.1102230246251565e-16
6.0000000000000000e+00,3.6000000000000000e+01,9.4932935025359877e-01,1.1102230246251565e-16
6.0000000000000000e+00,3.7000000000000000e+01,9.5056600223942411e-01,1.1102230246251565e-16
6.0000000000000000e+00,3.8000000000000000e+01,9.5174448957348312e-01,1.1102230246251565e-16
6.0000000000000000e+00,3.9000000000000000e+01,9.5286876621210992e-01,1.1102230246251565e-16
6.0000000000000000e+00,4.0000000000000000e+01,9.5394244095802483e-01,1.1102230246251565e-16
6.0000000000000000e+00,4.1000000000000000e+01,9.5496881369592468e-01,1.1102230246251565e-16
6.0000000000000000e+00,4.2000000000000000e+01,9.5595090724372755e-01,2.2204460492503131e-16
6.0000000000000000e+00,4.3000000000000000e+01,9.5689149541215679e-01,0.0000000000000000e+00
6.0000000000000000e+00,4.4000000000000000e+01,9.5779312777808034e-01,0.0000000000000000e+00
6.0000000000000000e+00,4.5000000000000000e+01,9.5865815160341084e-01,0.0000000000000000e+00
6.0000000000000000e+00,4.6000000000000000e+01,9.5948873126922918e-01,0.0000000000000000e+00
6.0000000000000000e+00,4.7000000000000000e+01,9.6028686554223119e-01,0.0000000000000000e+00
6.0000000000000000e+00,4.8000000000000000e+01,9.6105440294607980e-01,0.0000000000000000e+00
6.0000000000000000e+00,4.9000000000000000e+01,9.6179305547247351e-01,1.1102230246251565e-16
6.0000000000000000e+00,5.0000000000000000e+01,9.6250441083462079e-01,1.1102230246251565e-16
6.0000000000000000e+00,5.1000000000000000e+01,9.6318994343845943e-01,1.1102230246251565e-16
6.0000000000000000e+00,5.2000000000000000e+01,9.6385102422361013e-01,1.1102230246251565e-16
6.0000000000000000e+00,5.3000000000000000e+01,9.6448892950608678e-01,1.1102230246251565e-16
6.0000000000000000e+00,5.4000000000000000e+01,9.6510484893767812e-01,0.0000000000000000e+00
6.0000000000000000e+00,5.5000000000000000e+01,9.6569989268221790e-01,0.0000000000000000e+00
6.0000000000000000e+00,5.6000000000000000e+01,9.6627509789632715e-01,1.1102230246251565e-16
6.0000000000000000e+00,5.7000000000000000e+01,9.6683143459130660e-01,1.1102230246251565e-16
6.0000000000000000e+00,5.8000000000000000e+01,9.6736981094344676e-01,1.1102230246251565e-16
6.0000000000000000e+00,5.9000000000000000e+01,9.6789107811187514e-01,0.0000000000000000e+00
6.0000000000000000e+00,6.0000000000000000e+01,9.6839603461598911e-01,1.1102230246251565e-16
6.0000000000000000e+00,6.1000000000000000e+01,9.6888543031839058e-01,1.1102230246251565e-16
6.0000000000000000e+00,6.2000000000000000e+01,9.6935997005388441e-01,0.0000000000000000e+00
6.0000000000000000e+00,6.3000000000000000e+01,9.6982031694045101e-01,0.0000000000000000e+00
6.0000000000000000e+00,6.4000000000000000e+01,9.7026709540402234e-01,0.0000000000000000e+00
6.0000000000000000e+00,6.5000000000000000e+01,9.7070089394533399e-01,1.1102230246251565e-16
6.0000000000000000e+00,6.6000000000000000e+01,9.7112226767399479e-01,0.0000000000000000e+00
7.0000000000000000e+00,3.0000000000000000e+00,8.0971640503597908e-01,0.0000000000000000e+00
7.0000000000000000e+00,4.0000000000000000e+00,8.1754946186018218e-01,0.0000000000000000e+00
7.0000000000000000e+00,5.0000000000000000e+00,8.2619504806391586e-01,0.0000000000000000e+00
7.0000000000000000e+00,6.0000000000000000e+00,8.3511538880606329e-01,0.0000000000000000e+00
7.0000000000000000e+00,7.0000000000000000e+00,8.4393113415116694e-01,0.0000000000000000e+00
7.0000000000000000e+00,8.0000000000000000e+00,8.5240361639780471e-01,1.1102230246251565e-16
7.0000000000000000e+00,9.0000000000000000e+00,8.6040067673533260e-01,0.0000000000000000e+00
7.0000000000000000e+00,1.0000000000000000e+01,8.6786306366336774e-01,0.0000000000000000e+00
7.0000000000000000e+00,1.1000000000000000e+01,8.7477782247309599e-01,0.0000000000000000e+00
7.0000000000000000e+00,1.2000000000000000e+01,8.8115943151126019e-01,1.1102230246251565e-16
7.0000000000000000e+00,1.3000000000000000e+01,8.8703730864381980e-01,1.1102230246251565e-16
7.0000000000000000e+00,1.4000000000000000e+01,8.9244792792698058e-01,0.0000000000000000e+00
7.0000000000000000e+00,1.5000000000000000e+01,8.9743004860306963e-01,0.0000000000000000e+00
7.0000000000000000e+00,1.6000000000000000e+01,9.0202195634918669e-01,1.1102230246251565e-16
7.0000000000000000e+00,1.7000000000000000e+01,9.0625996633046135e-01,0.0000000000000000e+00
7.0000000000000000e+00,1.8000000000000000e+01,9.1017769733113896e-01,1.1102230246251565e-16
7.0000000000000000e+00,1.9000000000000000e+01,9.1380580454111227e-01,0.0000000000000000e+00
7.0000000000000000e+00,2.0000000000000000e+01,9.1717197583250321e-01,0.0000000000000000e+00
7.0000000000000000e+00,2.1000000000000000e+01,9.2030107153503549e-01,0.0000000000000000e+00
7.0000000000000000e+00,2.2000000000000000e+01,9.2321533514063570e-01,0.0000000000000000e+00
7.0000000000000000e+00,2.3000000000000000e+01,9.2593463194278103e-01,0.0000000000000000e+00
7.0000000000000000e+00,2.4000000000000000e+01,9.2847669088525930e-01,1.1102230246251565e-16
7.0000000000000000e+00,2.5000000000000000e+01,9.3085733606847421e-01,1.1102230246251565e-16
7.0000000000000000e+00,2.6000000000000000e+01,9.3309070111019832e-01,0.0000000000000000e+00
7.0000000000000000e+00,2.7000000000000000e+01,9.3518942356212142e-01,0.0000000000000000e+00
7.0000000000000000e+00,2.8000000000000000e+01,9.3716481889561420e-01,0.0000000000000000e+00
7.0000000000000000e+00,2.9000000000000000e+01,9.3902703484633465e-01,0.0000000000000000e+00
7.0000000000000000e+00,3.0000000000000000e+01,9.4078518755633445e-01,1.1102230246251565e-16
7.0000000000000000e+00,3.1000000000000000e+01,9.4244748122782440e-01,1.1102230246251565e-16
7.0000000000000000e+00,3.2000000000000000e+01,9.4402131306152470e-01,1.1102230246251565e-16
7.0000000000000000e+00,3.3000000000000000e+01,9.4551336519083029e-01,0.0000000000000000e+00
7.0000000000000000e+00,3.4000000000000000e+01,9.4692968519937792e-01,2.2204460492503131e-16
7.0000000000000000e+00,3.5000000000000000e+01,9.4827575665902752e-01,0.0000000000000000e+00
7.0000000000000000e+00,3.6000000000000000e+01,9.4955656096817054e-01,0.0000000000000000e+00
